t,ax,ay,az,wx,wy,wz
0.00947243,9.51708766,-0.46121271,2.29874271,0.01130291,-0.00386828,0.00615827
0.02068943,9.50244599,-0.40996685,2.38659275,0.00397253,-0.00264655,0.00493654
0.03190643,9.57565435,-0.34407932,2.42319693,0.00275080,0.00101864,0.00982347
0.04312342,9.48048348,-0.33675849,2.54765116,0.00152907,0.00101864,-0.00239384
0.05431521,9.47316264,-0.59298777,2.32802606,-0.01435343,0.00346210,-0.00239384
0.06550699,9.48048348,-0.45389187,2.26213853,-0.00580131,0.00346210,-0.00728076
0.07669878,9.46584180,-0.68815865,2.15964681,-0.00580131,0.00712729,-0.00239384
0.08789057,9.51708766,-0.59298777,2.16696765,-0.00213612,-0.00509001,0.00371481
0.09911251,9.44387929,-0.59298777,2.11572179,0.00763772,-0.00631174,0.00371481
0.11033446,9.50244599,-0.45389187,2.32070522,0.00763772,-0.00264655,0.00615827
0.12155640,9.47316264,-0.44657104,2.48908446,0.01496810,-0.00386828,0.00493654
0.13277835,9.49512515,-0.38800434,2.51836781,-0.00091439,0.00346210,0.00249308
0.14397115,9.50244599,-0.40264602,2.43783861,-0.00457958,0.00346210,-0.00728076
0.15516394,9.47316264,-0.65887530,2.34266773,-0.00457958,0.00346210,-0.00239384
0.16635674,9.54637101,-0.71744199,2.10840096,0.00030734,0.00712729,-0.00239384
0.17754954,9.54637101,-0.70280032,2.10840096,0.00030734,-0.00631174,-0.00117211
0.18873602,9.48780431,-0.62227112,2.23285518,0.00519426,-0.00753348,0.00249308
0.19992250,9.52440850,-0.43192936,2.46712195,0.00885945,-0.00875521,0.00615827
0.21110898,9.47316264,-0.47585438,2.67942622,0.01374637,-0.00875521,0.00371481
0.22229546,9.53905017,-0.46853355,2.47444279,0.00519426,0.00590556,0.00127135
0.23348695,9.52440850,-0.52710024,2.45980112,-0.00457958,0.00224037,-0.00361557
0.24467844,9.57565435,-0.55638359,2.32802606,-0.00824478,0.00468383,-0.00483730
0.25586993,9.56101268,-0.69547948,2.24017602,-0.00824478,0.00346210,-0.00605903
0.26706141,9.50976682,-0.57834610,2.12304263,-0.00091439,0.00101864,-0.00361557
0.27826917,9.46584180,-0.57102526,2.25481769,0.01130291,-0.00264655,0.00127135
0.28947693,9.56101268,-0.50513773,2.39391359,0.01130291,-0.00142482,-0.00117211
0.30068469,9.44387929,-0.29283347,2.51836781,0.00030734,0.00101864,0.00371481
0.31189245,9.50244599,-0.29283347,2.45980112,-0.00702304,0.00224037,0.00249308
0.32308543,9.59761686,-0.37336267,2.34998857,0.00397253,0.00101864,-0.00239384
0.33427840,9.44387929,-0.49781689,2.34266773,-0.01068824,0.00468383,-0.00850249
0.34547138,9.48780431,-0.70280032,2.11572179,-0.00702304,0.00468383,-0.00972422
0.35666436,9.59029603,-0.76136701,2.21089267,-0.00091439,-0.00142482,0.00493654
0.36786789,9.50244599,-0.74672534,2.24749685,-0.00213612,-0.00509001,0.00249308
0.37907141,9.51708766,-0.54906275,2.32802606,0.00152907,-0.00509001,0.00615827
0.39027494,9.50244599,-0.51977940,2.35730940,0.01374637,0.00224037,0.00493654
0.40147847,9.52440850,-0.29283347,2.47444279,-0.00213612,-0.00264655,0.00004962
0.41270322,9.45852097,-0.38068351,2.34266773,-0.00457958,-0.00142482,0.00004962
0.42392796,9.49512515,-0.44657104,2.29142187,-0.00580131,0.00101864,-0.00239384
0.43515271,9.53172933,-0.68815865,2.33534689,-0.00702304,-0.00142482,-0.00728076
0.44637746,9.58297519,-0.83457538,2.31338438,-0.00702304,-0.00020309,-0.00483730
0.45754921,9.48780431,-0.71744199,2.26213853,0.00275080,0.00224037,-0.00361557
0.46872097,9.48780431,-0.74672534,2.31338438,0.00030734,-0.00386828,0.00249308
0.47989273,9.51708766,-0.50513773,2.39391359,0.00275080,0.00101864,0.00127135
0.49106449,9.42923762,-0.40264602,2.37927191,0.00885945,0.00224037,0.00371481
0.50227171,9.52440850,-0.30015430,2.28410104,0.00885945,0.00834902,0.00615827
0.51347893,9.50976682,-0.30747514,2.18160932,-0.00457958,0.00346210,0.00127135
0.52468616,9.59029603,-0.38800434,2.31338438,-0.00091439,0.00101864,-0.00239384
0.53589338,9.46584180,-0.51977940,2.30606355,-0.00457958,0.00101864,-0.01094595
0.54708666,9.54637101,-0.71012116,2.32070522,-0.00335785,-0.00142482,-0.00239384
0.55827993,9.52440850,-0.75404618,2.38659275,-0.00213612,-0.00020309,-0.00117211
0.56947321,9.49512515,-0.66619614,2.43051777,0.00030734,-0.00020309,-0.00117211
0.58066648,9.50976682,-0.44657104,2.34998857,0.01374637,-0.00142482,0.00493654
