t,e_h,sigma_h,e_along,sigma_along,e_cross,sigma_cross
1.3399999999999999,4842.141560750002,508.9075982173715,-4819.901492392706,339.7720295236446,-463.55635900398005,378.8692538023602
2.369999999999999,4645.350475038089,489.3544949076389,-4574.5375753439275,320.31779946202334,-808.0142373146053,369.9517928516058
3.4000000000000004,5280.4233440263015,525.7752508428903,-4613.477036032802,276.59889593214984,-2568.7935553749544,447.1383065316814
4.4399999999999995,5613.4086380237695,297.67828927219205,-5396.941620616478,207.168288066703,1543.8191866593238,213.76076422844858
5.470000000000001,2091.0729684335925,461.20431235423996,-2034.0928829690467,372.16690566188834,-484.82192892684714,272.39899424227406
6.5,832.2058456097961,585.9015171254426,-826.5040148025264,497.59219274664986,97.25061944492246,309.326037519437
7.52,714.5172626098071,832.8919871733159,675.4173356561832,712.5991448170797,233.12301744468468,431.17458309074976
8.55,873.1705060756698,622.614289049704,-873.0782850852338,500.12299907923904,-12.690184910731658,370.84435916008727
9.579999999999998,145.25556887505832,610.3676382081462,-117.32454159168033,509.87831840998933,-85.63954827951211,335.5186346347874
10.61,662.6874394983716,527.3973119763918,-616.6343307739353,433.657886399581,242.72771695850673,300.14790061463304
11.64,767.9209000535975,472.35566674053797,-767.6937097535254,383.6788704598963,18.67824252967791,275.51842091685324
12.670000000000002,800.7764658751811,451.9740743878775,-794.6626903046962,364.0355692368515,-98.76313551749709,267.8780846750629
13.7,294.2993662431302,477.1517573516952,-293.23832693343616,392.9097063467018,24.967991276578687,270.73190096913146
14.73,601.1710086815539,446.9305540845859,-599.4130564881251,359.90569940730336,45.94093371668401,264.98076856348405
15.760000000000002,299.4418119269427,456.17879576493425,-297.25135568570676,370.7930786889515,36.15287364926892,265.72840740484384
16.79,562.9667707280852,425.1311535278322,-550.2275883227342,339.43329038502185,119.08478489108589,255.9717544540857
17.82,496.34037172124795,413.1102831984337,-496.2434297589108,328.1085734036276,9.809333387113853,251.00770933046337
18.85,364.06646157637215,414.27618314667865,-345.54506871610516,330.7628118033736,114.64289742815396,249.44081111659833
19.89,433.52872733703015,398.3127644544823,-433.5192208239561,314.0774505940073,2.870993321996734,244.9661473668163
20.92,271.77944089335455,398.72420969426764,-242.5175939787926,317.0958220975783,122.67551142360028,241.7255365173056
21.95,279.57307729063507,388.46199443056264,-256.43268000149027,307.0755062258483,111.37049058439445,237.92300139563955
22.979999999999997,212.78562395571126,382.9006277888857,-202.65839830978436,301.58179280358326,64.86366746287297,235.92649916976123
24.009999999999998,191.53227498029494,377.74254681877215,-146.5221188761301,297.68059873526255,123.35266936380627,232.54180874360605
