t,e_h,sigma_h,e_along,sigma_along,e_cross,sigma_cross
1.0,59.976001800635196,699.8381320371386,52.50416744010942,542.649786090279,-28.99022582545278,441.9328237519883
2.0,85.72487268382551,680.0303805943856,11.073530121302374,523.6040071612895,85.00665107690517,433.912620484799
3.0,255.04569974787827,662.1077435690153,50.593047928709474,506.2601071991716,249.97730389210975,426.71696468823
4.0,342.5188393073064,632.3079153447433,4.200673713216229,478.59089840810185,342.4930796684503,413.2360726855062
5.0,321.3393847931605,595.1747184011183,-12.143793507557582,448.6937021902832,321.1098386821754,391.03312780201605
6.0,299.28413905833594,554.7580400267976,-20.390220051471953,417.00995387840925,298.58873859899995,365.86771016407147
7.0,276.07781107043877,516.2326063235419,-28.805862935614673,387.5277388187329,274.5709016374085,341.0547690293113
8.0,251.6602981584687,481.44426086757403,-50.67544102682399,361.1402015742993,246.50538603841142,318.3807957920816
9.0,234.1044232955849,450.44082792193444,-48.62394419998042,338.0168402415462,228.99911147643255,297.72731680535935
10.0,203.47203468132886,420.51288844421197,-55.7662401079986,315.7485122890821,195.68085077895827,277.73002418702526
11.0,180.2347466882113,393.4635300882073,-41.79077582284752,295.91900029712235,175.32283071490772,259.3173630373124
12.0,156.25680658572062,369.2514534375632,-24.868321539221924,278.2928775777308,154.2652137981508,242.69262484727275
13.0,141.1970562415348,349.0265017698078,-27.159227147270485,263.03173595249206,138.56040225128572,229.42058499508738
14.0,125.37561325224394,331.91638953916913,-27.718570664964396,250.0363405880948,122.27315829186558,218.28952798985043
15.0,115.83784679348757,316.59923792556947,-21.64454229373885,238.29611384454498,113.79771763372958,208.4467308010346
16.0,100.17837571455085,302.5535303299204,-17.91879599785378,227.48104609097317,98.56279070112113,199.47684673779716
17.0,82.2496766542015,290.1228339169718,-8.388210470554364,217.98755698399825,81.82082396812183,191.44890639583946
18.0,64.5447441593579,278.6823871733395,-1.1146220831475702,209.2009275912747,64.53511924687771,184.11638931822816
19.0,52.209234574054115,268.0445067631801,-3.6802840810171693,200.89086533948873,52.07935948042774,177.4562420121307
20.0,40.204081903120205,258.3833552784873,-4.363711975997084,193.38679312032463,39.966563768522015,171.35783183620683
21.0,31.995304762941004,249.85073111145869,-0.9501280722856374,186.79451328730298,31.98119421659751,165.93130398658968
22.0,20.670787165438494,242.0686168507008,-0.6791910644396516,180.802399470953,20.65962588085375,160.95871399075392
23.0,11.801901294726607,234.96474797140863,2.377990328061909,175.359014152526,11.559845854080995,156.38941442668607
24.0,11.228235421516784,228.87324284704073,7.792892418477058,170.64860698642875,8.08356965919432,152.51889792714823
25.0,4.331089105721592,223.0776347032019,4.095729812745269,166.1056839338001,1.408307545492057,148.90444207497538
26.0,5.862418036034924,217.93233333182687,4.056935788196074,162.0891243097966,-4.231928312209634,145.67641432962918
27.0,11.049516161494907,213.49472943112923,8.753036225243205,158.63578169160996,-6.74360172628228,142.87997852030543
28.0,14.965770039972195,209.33170198931307,7.70125328489966,155.33615925375258,-12.832184955460685,140.32262499695267
29.0,17.850933396350232,205.6897051963351,8.891305900213032,152.43366672544482,-15.4790342886683,138.10225223504233
30.0,21.105636646758303,202.44954146330318,8.909487623971303,149.83305155778524,-19.13292786123674,136.1465148271662
31.0,28.501080650497027,199.3521139688234,7.8849301404424,147.37393250884577,-27.388674208995205,134.24674804522053
32.0,31.049728380526503,196.71865641996615,7.616902372347549,145.22634446539283,-30.100970594892768,132.69340095459066
33.0,34.48737881729861,194.11566317297704,5.853477593953806,143.08892225388846,-33.98699895173062,131.17336245330193
34.0,38.0550394453304,191.7923537515444,7.31528308407338,141.1727500835614,-37.3453164477893,129.825119262036
