t,x_rocket_n,x_rocket_e,x_pred_n,x_pred_e,rocket_lat,rocket_lon,pred_lat,pred_lon
1.3399999999999999,6.642807693760205,-13.919136074100066,1066.1801769980336,-1108.7415938414379,69.29456584020483,16.01954365488417,69.30409448868976,15.991695910469064
2.369999999999999,57.01355722593564,-48.77962488413527,1116.8514188469328,-1528.6071758665285,69.29501883523842,16.018656948573316,69.30455018611569,15.981016270739367
3.4000000000000004,117.48389260956473,-92.04052482729985,240.28391812744147,-3056.183525902818,69.29556265802971,16.017556570629626,69.29666702519125,15.942161061414266
4.4399999999999995,145.83832325309112,-114.10281231489351,1519.8071953278059,930.0704178822511,69.29581765555072,16.01699539750168,69.30817405447588,16.043554835548765
5.470000000000001,280.56844502135993,-210.57473667497004,3502.327961738,-2460.1726145412304,69.29702931264546,16.014541551698873,69.32600329207004,15.957321108059691
6.5,460.98317310527,-352.73327858948153,4841.225309108137,-2526.755039346245,69.29865182127537,16.010925627752872,69.338044285196,15.955627527209797
7.52,677.3847096158283,-515.9233552821612,6225.120547948193,-3125.9737134692587,69.30059796704876,16.00677474875457,69.35048995408218,15.94038588837845
8.55,798.7684746396448,-606.9503114475258,4747.730011358936,-2601.0165530227337,69.3016895974737,16.004459400368905,69.33720346178283,15.95373862217495
9.579999999999998,921.9567336450466,-697.8884482418052,5376.485628091817,-3026.6357547127955,69.30279745610288,16.002146311179818,69.34285799689253,15.942912634214311
10.61,1031.188955996174,-776.9922498327558,5095.117236493818,-2499.409849940772,69.30377980507912,16.000134238415562,69.34032759015467,15.956323075460698
11.64,1123.5735828159534,-842.9387690827516,4855.279048864091,-2623.887746468716,69.30461063998865,15.998456832366655,69.33817067351407,15.953156873832985
12.670000000000002,1215.8554018620432,-908.0256006553612,4775.411535416331,-2714.1151452191,69.30544055032567,15.996801293208168,69.33745240770952,15.950861862873158
13.7,1312.0868111427255,-974.5872920474974,5274.924919059284,-2845.348385983679,69.30630598018101,15.995108239730342,69.34194463949308,15.947523833294342
14.73,1394.5599048720226,-1031.0570392718237,5016.095232754153,-2680.454411504105,69.30704767853199,15.993671883473004,69.33961692820161,15.951718052388335
15.760000000000002,1482.7254107640288,-1089.9737392687082,5276.751882807912,-2833.6066571110355,69.30784056997544,15.992173286881698,69.34196106977281,15.947822494198052
16.79,1560.717944548297,-1141.1041375965049,5094.279512663983,-2639.7548830270694,69.30854197368276,15.990872741524436,69.34032005632326,15.95275327966085
17.82,1636.9028969710164,-1190.802853993148,5089.406596406651,-2761.5402202577475,69.30922712142036,15.989608612220042,69.34027623313453,15.949655565578858
18.85,1718.7897427401238,-1243.7477114432659,5271.893752417485,-2741.577503468388,69.30996354751677,15.988261914545086,69.34191737955656,15.950163334332629
19.89,1792.560899137175,-1290.651901427402,5141.167674074352,-2797.640882136074,69.31062698746518,15.98706886640709,69.34074173168945,15.948737314406651
20.92,1871.1031750543877,-1340.2021998310531,5366.2088610525025,-2783.8130775915406,69.31133333512228,15.985808512241126,69.34276557570617,15.949089036427008
21.95,1944.2329726257494,-1385.881689812889,5348.581082184545,-2787.083326416379,69.3119910071922,15.984646615393833,69.34260704528216,15.949005854854688
22.979999999999997,2020.4037595258121,-1432.3123318702912,5373.552965176357,-2853.648805669207,69.3126760275362,15.983465612351859,69.34283162282131,15.94731270502939
24.009999999999998,2095.0349976490033,-1477.6020070386694,5450.829991996021,-2829.1435748412046,69.31334720238542,15.982313630777327,69.34352659181991,15.947936016507967
25.04,2164.9389359195766,-1519.7898505063458,5325.665459900165,-2801.2925591605153,69.31397586360566,15.981240546941699,69.34240096013983,15.948644430882256
26.07,2237.697917803917,-1562.9078296034559,5410.815540351944,-2875.191205438479,69.31463020084999,15.980143804311812,69.34316673321078,15.946764755689653
27.1,2309.8965854863527,-1604.8486990693307,5417.991180981886,-2868.022554601222,69.31527949906766,15.979077002470886,69.34323126529733,15.94694709644719
28.130000000000003,2375.586412610864,-1642.354031599751,5284.534209044204,-2788.5023507284304,69.31587026187587,15.978123022300768,69.3420310579141,15.948969760759175
29.17,2448.7298286970117,-1682.9546247827368,5414.34239803943,-2792.6663731656317,69.31652805642004,15.977090311531965,69.34319845100399,15.948863845291559
30.200000000000003,2517.239024034782,-1720.6912571130251,5392.5457582497575,-2818.741627134748,69.31714417441576,15.97613044805386,69.34300242911299,15.948200598933267
31.229999999999997,2588.3758815636093,-1759.8262947085648,5452.491470754361,-2851.831751387547,69.31778392354528,15.975135014943309,69.34354153385736,15.947358923357179
32.25,2658.0886500085808,-1798.3833904921014,5512.193771146167,-2877.4858352183564,69.31841086553399,15.974154282276427,69.34407844954401,15.946706389821118
33.28,2724.3162853228096,-1834.9404897849513,5380.464446301809,-2820.404466502222,69.31900646496746,15.973224421228691,69.34289377926436,15.948158303193551
34.31,2793.4500979468007,-1872.8551088924446,5436.270896570566,-2857.011930731673,69.31962820028139,15.97226003050487,69.34339565872912,15.94722716107063
35.34,2859.1444876688,-1908.424568202825,5372.576610004723,-2832.0763170439905,69.32021900412204,15.971355290923734,69.3428228422483,15.947861419704878
36.37,2927.6717368671198,-1945.3769526425758,5412.236567574457,-2846.8214317400993,69.32083528448001,15.97041537546063,69.34317951281562,15.947486365117246
37.4,2995.686596780628,-1982.0925523635342,5436.123804478761,-2863.6707114105843,69.32144695681045,15.969481482819115,69.34339433589817,15.947057789296105
